epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7403,1.1003,4.74496,1.1635,0,0,0,0,0,37.7287,0,1e-05,1e-05,1e-05
2,33.8973,1.09488,4.65393,1.16132,0,0,0,0,0,37.7259,0,2.37625e-05,2.37625e-05,2.37625e-05
3,37.8862,1.04459,4.46241,1.0978,0,0,0,0,0,37.7229,0,3.604e-05,3.604e-05,3.604e-05
4,41.7788,0.8021,4.47981,1.02177,0,0,0,0,0,37.7252,0,4.68325e-05,4.68325e-05,4.68325e-05
5,45.3762,0.92076,4.3994,1.03025,0,0,0,0,0,37.7278,0,5.614e-05,5.614e-05,5.614e-05
6,51.0088,0.83607,3.98351,0.9838,0,0,0,0,0,37.7276,0,6.39625e-05,6.39625e-05,6.39625e-05
7,55.3721,0.83029,3.93932,1.0558,0,0,0,0,0,37.7298,0,7.03e-05,7.03e-05,7.03e-05
8,59.3025,0.79158,3.67594,1.00705,0,0,0,0,0,37.7351,0,7.51525e-05,7.51525e-05,7.51525e-05
9,64.2518,0.74494,3.75352,0.94594,0,0,0,0,0,37.7504,0,7.852e-05,7.852e-05,7.852e-05
10,68.2598,0.8019,3.60221,1.01219,0,0,0,0,0,37.7568,0,8.04025e-05,8.04025e-05,8.04025e-05
11,75.2209,0.71092,4.2835,0.92437,0,0,0,0,0,37.7774,0,8.08e-05,8.08e-05,8.08e-05
12,79.1186,0.70386,4.06242,0.88132,0,0,0,0,0,37.7907,0,7.97125e-05,7.97125e-05,7.97125e-05
13,83.4848,0.6636,3.95263,0.86062,0,0,0,0,0,37.8388,0,7.714e-05,7.714e-05,7.714e-05
14,87.6371,0.61426,3.83633,0.90108,0,0,0,0,0,37.873,0,7.30825e-05,7.30825e-05,7.30825e-05
15,91.4337,0.6958,3.87453,0.87113,0,0,0,0,0,37.9419,0,6.754e-05,6.754e-05,6.754e-05
16,95.6925,0.67796,3.72466,0.91887,0,0,0,0,0,37.9771,0,6.05125e-05,6.05125e-05,6.05125e-05
17,99.7147,0.58561,3.47962,0.87234,0,0,0,0,0,38.0685,0,5.2e-05,5.2e-05,5.2e-05
18,103.684,0.60356,3.31117,0.80402,0,0,0,0,0,38.1446,0,4.20025e-05,4.20025e-05,4.20025e-05
19,108.253,0.61585,3.17302,0.89317,0,0,0,0,0,38.2299,0,3.052e-05,3.052e-05,3.052e-05
20,112.064,0.58996,3.30459,0.90595,0,0,0,0,0,38.3285,0,1.75525e-05,1.75525e-05,1.75525e-05
