epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1788,1.13605,4.05903,1.45238,0,0,0,0,0.73677,4.23539,1.12064,7.395e-05,7.395e-05,7.395e-05
2,63.8362,1.03872,3.80495,1.33448,0.3069,0.2119,0.2714,0.21233,0.68779,4.15389,1.10134,0.000149235,0.000149235,0.000149235
3,103.384,1.02906,3.38499,1.34252,0.19111,0.83571,0.52766,0.38742,0.77693,3.73773,1.14367,0.00022142,0.00022142,0.00022142
4,146.707,1.05186,2.90345,1.37259,0.82698,0.56307,0.79291,0.58792,0.9112,3.41967,1.27254,0.000290504,0.000290504,0.000290504
5,188.593,1.07547,2.46402,1.38775,0.85442,0.37662,0.65663,0.4665,1.0086,3.51882,1.30382,0.000356488,0.000356488,0.000356488
6,232.596,1.06316,2.06295,1.37371,0.84789,0.71777,0.7804,0.5989,0.91525,1.85176,1.26324,0.000391935,0.000391935,0.000391935
7,277.071,1.06282,1.71471,1.34507,0.79426,0.57824,0.60842,0.42672,0.88561,2.06801,1.23041,0.000383322,0.000383322,0.000383322
8,340.05,1.06608,1.58946,1.33946,0.81487,0.44078,0.42546,0.2978,0.94938,2.14684,1.28526,0.000374709,0.000374709,0.000374709
9,392.661,1.00365,1.52049,1.31377,0.81346,0.45711,0.45658,0.34847,0.8886,1.79618,1.24685,0.000366096,0.000366096,0.000366096
10,447.214,0.96446,1.38955,1.26689,0.8093,0.67125,0.66515,0.50279,0.80512,1.51539,1.16222,0.000357483,0.000357483,0.000357483
11,509.947,0.93115,1.28567,1.23102,0.83031,0.81284,0.82494,0.62169,0.8869,1.61753,1.22906,0.00034887,0.00034887,0.00034887
12,564.289,0.91133,1.24043,1.22564,0.91686,0.71347,0.79388,0.61011,0.86726,1.488,1.20188,0.000340257,0.000340257,0.000340257
13,613.036,0.87468,1.20137,1.23391,0.8737,0.82494,0.89981,0.6486,1.03429,1.78289,1.32681,0.000331644,0.000331644,0.000331644
14,662.716,0.90023,1.16902,1.2319,0.87762,0.79186,0.91596,0.72249,0.85158,1.4619,1.19568,0.000323031,0.000323031,0.000323031
15,718.887,0.89216,1.11039,1.20315,0.81922,0.84285,0.8457,0.66025,0.79852,1.32046,1.15849,0.000314418,0.000314418,0.000314418
16,767.892,0.87324,1.086,1.19223,0.83664,0.80596,0.89272,0.69342,0.80535,1.64073,1.17292,0.000305805,0.000305805,0.000305805
17,819.234,0.88068,1.11322,1.21755,0.84733,0.79385,0.80011,0.61977,0.79315,1.36067,1.15007,0.000297192,0.000297192,0.000297192
18,880.937,0.86404,1.06117,1.19928,0.86116,0.80357,0.7934,0.62873,0.79446,1.14644,1.16453,0.000288579,0.000288579,0.000288579
19,935.106,0.80504,1.0092,1.13797,0.87296,0.91495,0.92935,0.72055,0.80418,1.14636,1.15696,0.000279966,0.000279966,0.000279966
20,1000.63,0.82597,0.97519,1.1716,0.91952,0.88591,0.94312,0.743,0.77066,1.09304,1.14115,0.000271353,0.000271353,0.000271353
21,1060.88,0.86102,1.00784,1.16755,0.85188,0.85927,0.86961,0.67695,0.81004,1.16737,1.1623,0.00026274,0.00026274,0.00026274
22,1121.49,0.84019,0.95911,1.17447,0.86968,0.90864,0.92711,0.731,0.77141,1.19946,1.14189,0.000254127,0.000254127,0.000254127
23,1180.62,0.81141,0.96435,1.159,0.88643,0.88882,0.93103,0.73259,0.80034,1.15811,1.14801,0.000245514,0.000245514,0.000245514
24,1236.77,0.79321,0.91573,1.15913,0.92286,0.86191,0.92889,0.74011,0.74345,1.13462,1.11224,0.000236901,0.000236901,0.000236901
25,1307.58,0.81768,0.93826,1.1829,0.9185,0.88096,0.92591,0.72218,0.77743,1.12664,1.12942,0.000228288,0.000228288,0.000228288
26,1371.85,0.81867,0.91295,1.14625,0.88253,0.9199,0.93951,0.74808,0.75567,1.06999,1.11907,0.000219675,0.000219675,0.000219675
